Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
CAP,2019,6,75.20,109.5,L,COLLIN,0,1,0
CAP,2019,7,117.50,105.5,W,ERIC,1,0,0
CAP,2019,8,119.70,124.1,L,FIELER,0,1,0
CAP,2019,9,100.90,69.6,W,MURPH,1,0,0
CAP,2019,10,89.90,120.2,L,DUKE,0,1,0
CAP,2019,11,96.70,86.6,W,RYAN,1,0,0
CAP,2019,12,111.60,116.7,L,HAMM,0,1,0
CAP,2019,13,116.80,108.1,W,BISCH,1,0,0
CAP,2019,14,111.00,130.9,L,HAMM,0,1,0
CAP,2019,15,97.00,96.3,W,BISCH,1,0,0
CAP,2019,16,137.30,107.5,W,RYAN,1,0,0
DUKE,2019,1,105.60,113.8,L,JAMES,0,1,0
DUKE,2019,2,82.00,110.4,L,CRAIG,0,1,0
DUKE,2019,3,160.60,110.1,W,ERIC,1,0,0
DUKE,2019,4,114.00,103.2,W,MURPH,1,0,0
DUKE,2019,5,125.50,156.9,L,RYAN,0,1,0
DUKE,2019,6,107.40,137.6,L,BISCH,0,1,0
DUKE,2019,7,106.30,113.7,L,LOTH,0,1,0
DUKE,2019,8,120.20,102.7,W,COLLIN,1,0,0
DUKE,2019,9,158.40,111.1,W,FIELER,1,0,0
DUKE,2019,10,120.20,89.9,W,CAP,1,0,0
DUKE,2019,11,116.40,126.8,L,HAMM,0,1,0
DUKE,2019,12,106.90,90.6,W,JAMES,1,0,0
DUKE,2019,13,65.00,106.2,L,CRAIG,0,1,0
DUKE,2019,14,152.90,124.5,W,RYAN,1,0,0
DUKE,2019,15,128.40,89.8,W,ERIC,1,0,0
DUKE,2019,16,123.10,109.5,W,HAMM,1,0,0
JAMES,2019,1,113.80,105.6,W,DUKE,1,0,0
JAMES,2019,2,148.00,138.3,W,HAMM,1,0,0
JAMES,2019,3,130.10,123.8,W,CAP,1,0,0
JAMES,2019,4,63.90,106.3,L,CRAIG,0,1,0
JAMES,2019,5,102.20,112.2,L,ERIC,0,1,0
JAMES,2019,6,91.10,124.3,L,MURPH,0,1,0
JAMES,2019,7,69.60,48.8,W,RYAN,1,0,0
JAMES,2019,8,102.20,162.3,L,BISCH,0,1,0
JAMES,2019,9,117.20,113.6,W,LOTH,1,0,0
JAMES,2019,10,88.00,100.3,L,COLLIN,0,1,0
JAMES,2019,11,90.40,122.6,L,FIELER,0,1,0
JAMES,2019,12,90.60,106.9,L,DUKE,0,1,0
JAMES,2019,13,97.00,127.4,L,HAMM,0,1,0
JAMES,2019,14,90.80,99.7,L,COLLIN,0,1,0
JAMES,2019,15,88.00,72.2,W,LOTH,1,0,0
JAMES,2019,16,89.50,112.2,L,CRAIG,0,1,0
BISCH,2019,1,105.80,184.9,L,RYAN,0,1,0
BISCH,2019,2,120.00,101.5,W,CAP,1,0,0
BISCH,2019,3,142.90,94.9,W,LOTH,1,0,0
BISCH,2019,4,92.70,78.6,W,COLLIN,1,0,0
BISCH,2019,5,132.00,128.1,W,FIELER,1,0,0
BISCH,2019,6,137.60,107.4,W,DUKE,1,0,0
BISCH,2019,7,112.30,129.3,L,HAMM,0,1,0
BISCH,2019,8,162.30,102.2,W,JAMES,1,0,0
